"Year","pop","stock","prod","tot.land","ag.land","un.land","pc.supply","yield","pgrowth","agrowth","bfcn"
2072,10.509046182,0,0,0,0,0,0,0,0.233551064072764,0,0
2073,10.532629592,0,0,0,0,0,0,0,0.224410565826558,0,0
2074,10.555327277,0,0,0,0,0,0,0,0.215498748928177,0,0
2075,10.577155889,0,0,0,0,0,0,0,0.206801849219442,0,0
2076,10.598131958,0,0,0,0,0,0,0,0.198314832646215,0,0
2077,10.618268333,0,0,0,0,0,0,0,0.189999285532595,0,0
2078,10.637573903,0,0,0,0,0,0,0,0.181814674432378,0,0
2079,10.656054443,0,0,0,0,0,0,0,0.173728898793238,0,0
2080,10.673719474,0,0,0,0,0,0,0,0.165774594100391,0,0
2081,10.690576967,0,0,0,0,0,0,0,0.157934570428451,0,0
2082,10.706644425,0,0,0,0,0,0,0,0.1502955177218,0,0
2083,10.721951208,0,0,0,0,0,0,0,0.14296526897128,0,0
2084,10.736532842,0,0,0,0,0,0,0,0.135997951465409,0,0
2085,10.750416739,0,0,0,0,0,0,0,0.129314530159004,0,0
2086,10.763615214,0,0,0,0,0,0,0,0.122771752206762,0,0
2087,10.776129373,0,0,0,0,0,0,0,0.116263529968289,0,0
2088,10.787962319,0,0,0,0,0,0,0,0.109807015027567,0,0
2089,10.799112048,0,0,0,0,0,0,0,0.103353429223259,0,0
2090,10.809575802,0,0,0,0,0,0,0,0.0968945775679564,0,0
2091,10.819350484,0,0,0,0,0,0,0,0.0904261386297068,0,0
2092,10.828432708,0,0,0,0,0,0,0,0.0839442627672798,0,0
2093,10.836817175,0,0,0,0,0,0,0,0.077430106702373,0,0
2094,10.844496726,0,0,0,0,0,0,0,0.0708653738084213,0,0
2095,10.851460597,0,0,0,0,0,0,0,0.0642157139787213,0,0
2096,10.857694249,0,0,0,0,0,0,0,0.0574452807000373,0,0
2097,10.863179438,0,0,0,0,0,0,0,0.0505189119734609,0,0
2098,10.867893848,0,0,0,0,0,0,0,0.0433980680049231,0,0
2099,10.871811478,0,0,0,0,0,0,0,0.0360477389160465,0,0
2100,10.874902318,0,0,0,0,0,0,0,0.0284298528010263,0,0
